epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8539,1.93439,3.27425,2.05306,0.01012,0.63681,0.106,0.03626,1.82081,3.43874,2.0885,5.001e-05,5.001e-05,5.001e-05
2,35.6103,1.77315,3.12638,1.91613,0.01056,0.79635,0.1814,0.06817,1.79414,3.35332,1.93199,0.00011438,0.00011438,0.00011438
3,54.3899,1.8708,2.91413,1.84933,0.0096,0.82821,0.20744,0.07604,1.77632,3.2588,1.78799,0.000176109,0.000176109,0.000176109
4,67.619,1.84447,2.45995,1.80452,0.00908,0.60584,0.22794,0.0871,1.81114,3.06812,1.7371,0.000235197,0.000235197,0.000235197
5,85.0538,1.88601,2.21248,1.72757,0.89092,0.09559,0.25418,0.10133,1.82689,2.94971,1.74057,0.000291645,0.000291645,0.000291645
6,104.104,1.85772,1.97471,1.72149,0.97833,0.0541,0.2671,0.11531,1.76587,2.90664,1.71258,0.000345452,0.000345452,0.000345452
7,123.057,1.72581,2.03938,1.65371,0.66273,0.33333,0.23883,0.10954,1.71705,2.96071,1.69832,0.000396619,0.000396619,0.000396619
8,141.504,1.70946,1.83762,1.66023,0.88947,0.10365,0.24187,0.10986,1.72956,2.85704,1.69637,0.000445146,0.000445146,0.000445146
9,159.895,1.70919,1.74929,1.61251,0.83094,0.22551,0.26516,0.12804,1.73062,2.52018,1.69885,0.000491032,0.000491032,0.000491032
10,178.405,1.77117,1.80508,1.69719,0.84815,0.23039,0.28766,0.13964,1.74646,2.29831,1.68122,0.000534277,0.000534277,0.000534277
11,196.746,1.74478,1.7985,1.63341,0.83409,0.26225,0.30798,0.15164,1.71982,2.1998,1.61718,0.000574882,0.000574882,0.000574882
12,214.993,1.66767,1.63245,1.55853,0.78461,0.30147,0.2883,0.13722,1.69588,2.17967,1.54312,0.000612846,0.000612846,0.000612846
13,228.816,1.63732,1.82166,1.49749,0.75768,0.30494,0.26603,0.12984,1.67694,2.10263,1.55166,0.00064817,0.00064817,0.00064817
14,246.014,1.63857,1.76807,1.5266,0.79829,0.28996,0.29087,0.15192,1.6299,2.04298,1.53157,0.000680853,0.000680853,0.000680853
15,265.032,1.55804,1.60501,1.48223,0.80053,0.31758,0.31547,0.16249,1.64739,1.89011,1.53929,0.000710895,0.000710895,0.000710895
16,283.817,1.57818,1.65257,1.51712,0.78769,0.29902,0.31725,0.15969,1.71074,1.88036,1.58903,0.000738298,0.000738298,0.000738298
17,302.503,1.58251,1.58636,1.50389,0.84514,0.29657,0.33056,0.17357,1.70759,1.84305,1.60486,0.000763059,0.000763059,0.000763059
18,321.193,1.57418,1.45717,1.50735,0.85195,0.30392,0.34017,0.1876,1.64031,1.74972,1.52935,0.00078518,0.00078518,0.00078518
